naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
S10001	0	0	0	0	0	0	0	0	0
S10006	0	0	0	0	0	0	0	0	0
S1001	0	0	0	0	0	0	0	0	0
S10010	0	0	0	0	0	0	0.1686868442486	0	0
S10011	0	0	0	0	0	0	0	0	0
S10014	0	0	0	0	0	0	0	0	0
S10026	0	0	0	0	0	0	0	0	0
S10032	0	0	0.319174056988139	0	0	0	0	0	0
S10036	0	0	0	0	0	0	0	0	0
S10042	0	0	0	0	0	0	0	0	0
S10044	0	0	0	0	0	0	0	0	0
S10049	0	0	0	0	0	0	0	0	0
S10057	0	0	0	0	0	0	0	0	0
S10062	0	0	0	0	0	0	0	0	0
S10066	0	0	0	0	0	0	0	0	0
S10067	0	0	0	0	0	0	0	0	0
S1007	0	0	0	0	0	0	0	0	0
S10073	0	0	0	0	0	0	0	0	0
S10077	0	0	0	0	0	0	0	0	0
S10080	0	0	0	0	0	0	0	0	0
S10082	0	0	0	0	0	0	0	0	0
S10087	0	0	0	0	0	0	0	0	0
S10089	0	0	0	0	0	0	0	0	0
S1009	0	0	0	0	0	0	0	0	0
S10090	0	0	0	0	0	0	0	0	0
S10093	0	0	0	0	0	0	0	0	0
S10094	0	0	0	0	0	0	0	0	0
S1010	0	0	0	0	0	0	0	0	0
S10111	0	0	0	0	0	0	0	0	0
S10116	0	0	0	0	0	0	0	0.782126334518451	1.51050148054643
S10119	0	0	0	0	0	0	0	0	0
S10121	0	0	0	0	0	0	0	0	0
S10130	0	0	0	0	0	0	0	0	0
S10140	0	0	0	0	0	0	0	0	0
S10142	0	0	0	0	0	0	0	0	0
S10150	0	0	0	0	0	0	1.192319984208	0	0
S10155	0	0	0	0	0	0	0	0	0
S1016	0	0	0	0	0	0	0	0	0
S10163	0	0	0	0	0	0	0	0	0
S10167	0	0	0	0	0	0	0	0	0
S10168	0	0	0	0	0	0	0	0	0
S10173	0	0	0	0	0	0	0	0	0
S10175	0	0	0	0	0	0	0	0	0
S10179	0	0	0	0	0	0	0	0	0
S10186	0	0	0	0	0	0	0	0	0
S1019	0	0	0	0	0	0	0	0	0
S10190	0	0	0	0	0	0	0	0	0
S10195	0	0	0	0	0	0	0	0	0
S10196	0	0	0	0	0	0	0	0	0
S10200	0	0	0	0	0	0	0	0	0
S10201	0	0	0	0	0	0	0.111661374105606	0	0
S10202	0	0	0	0	0	0	0	0	0
S10205	0	0	0	0	0	0	0	0	0
S10211	0	0	0	0	0	0	0	0	0
S10221	0	0	0	0	0	0	0	0	0
S10222	0	0	0	0	0	0	0	0	0
S10226	0	0	0	0	0	0	0	0	0
S10227	0	0	0	0	0	0	0	0	0
S10228	0	0	0	0	0	0	0	0	0
S10232	0	0	0	0	0	0	0	0.654060063087773	0.66143848738194
S10248	0	0	0	0	0	0	0	0	0
S10249	0	0	1.257851344508	0	0	0	0.538201567812323	0	0
S1025	0	0	0	0	0	0	0	0	0
S10266	0	0	0	0	0	0	0	0	0
S10269	0	0	0	0	0	0	0	0	0
S10272	0	0	0	0	0	0	0	0	0
S10273	0	0	0	0	0	0	0	0	0
S10274	0	0	0	0	0	0	0	0	0
S1028	0	0	0	0	0	0	0	0	0
S10280	0	0	0	0.251917414362995	0	0	0	0	0
S10283	0	0	0	0	0	0.0512010351497586	0	0	0
S1029	0	0	0	0	0	0	0	0	0
S10292	0	0	0	0	0	0	0	0	0
S10294	0	0	0	0	0	0	0	0	0
S10302	0	0	0	0	0	0	0	0	0
S10303	0	0	0	0	0	0	0	0	0
S10323	0	0	0	0	0	0	0	0	0
S10326	0	0	0	0	0	0	0	0	0
S10328	0	0	0	0	0	0	0	0	0
S10329	0	0	0	0	0	0	0	0	0
S10336	0	0	0	0	0	0	0	0	0
S10340	0	0	0	0	0	0	0	0	0
S10347	0	0	0	0	0	0	0	0	0
S10353	0	0	0	0	0	0	0	0	0
S10356	0	0	0	0	0	0	0	0	0
S10358	0	0	0	0	0	0	0	0	0
S10365	0	0	0	0	0	0	0	0	0
S1037	0	0	0	0	0	0	0	0.169051019434324	0.307240970585864
S10373	0	0	0	0	0	0	0	0	0
S10374	0	0	0	0	0	0	0	0	0
S10375	0	0	0	0	0	0	0	0	0
S10377	0	0	0	0	0	0	0	0	0
S10378	0	0	0	0	0	0	0	0	0
S10390	0	0	0	0	0	0	0	0	0
S10391	0	0	0	0	0	0	0	0	0
S10393	0	0	0	0	0	0	0	0	0
S10400	0	0	0	0	0	0	0	0	0
S10401	0	0	0	0	0	0	0	0	0
S10406	0	0	0	0	0	0	0	0	0
S10408	0	0	0	0	0	0	0	0	0
S10409	0	0	0	0	0	0	0	0	0
S10418	0	0	0	0	0	0	0	0	0
S10431	0	0	0	0	0	0	0	0	0
S10438	0	0	0	0	0	0	0	0	0
S10439	0	0	0	0	0	0	0	0	0
S10441	0	0	0	0	0	0	0	0	0
S10442	0	0	0	0	0	0	0	0	0
S1046	0	0	0	0	0	0	0	0	0
S10478	0	0	0	0	0	0	0.21557213594483	0	0
S10480	0	0	0	0	0	0	0	0	0
S10484	0	0	0	0	0	0	0	0	0
S10492	0	0	0	0	0	0	0	0.0716219092033592	0
S10496	0	0	0	0	0	0	0	0	0
S10510	0	0	0	0	0	0	0	0	0
S10513	0	0	0.197827196896468	0	0	0	0	0	0
S10516	0	0	0	0	0	0	0	0	0
S10534	0	0	0	0	0	0	0	0	0
S10535	0	0	0	0	0	0	0	0	0
S10537	0	0	0	0	0	0	0	0	0
S1054	0	0	0	0	0	0	0	0	0
S10543	0	0	0	0	0	0	0	0	0
S10546	0	0	0	0	0	0	0	0	0
S1055	0	0	0	0	0	0	0	0	0
S10551	0	0	0	0	0	0	0	0	0
S10552	0	0	0	0	0	0	0	0	0
S10555	0	0	0	0	0	0.126816654820694	0	0	0.32624024830691
S10559	0	0	0	0	0	0	0	0	0
S1056	0	0	0	0	0	0	0	0	0
S10563	0	0	0	0	0	0	0	0	0
S10574	0	0	0	0	0	0	0	0	0
S10576	0	0	0	0	0	0	0	0	0
S10578	0	0	0	0	0	0	0	0	0
S10579	0	0	0	0	0	0	0	0	0
S10582	0	0	0	0	0	0	0	0	0
S1059	0	0	0	0	0	0	0	0	0
S10599	0	0	0	0	0	0	0	0	0
S10611	0	0	0	0	0	0	0	0	0
S10614	0	0	0	0	0	0	0	0	0
S10624	0	0	0	0	0	0	0	0	0
S10632	0	0	0	0	0	0	0	0	0
S10634	0	0	0	0	0	0	0	0	0
S10638	0	0	0	0	0	0	0	0	0
S10644	0	0	0	0	0	0	0	0	0
S10649	0	0	0	0	0	0	0	0	0
S10652	0	0	0	0	0	0	0	0	0
S10654	0	0	0	0	0.218503288234544	0	0	0	0
S10655	0	0	0	0	0	0	0	0	0
S10656	0	0	0	0	0	0.0641447993288999	0	0	0
S10657	0	0	0	0	0	0	0	0	0
S10658	0	0	0	0	0	0	0	0	0
S10660	0	0	0	0	0	0	0	0.120615844770508	0.51162459816326
S10661	0	0	0	0	0	0	0	0	0
S10676	0	0	0	0	0	0	0	0	0
S1068	0	0	0	0	0	0	0	0	0
S10681	0	0	0	0	0	0	0	0	0
S10686	0	0	0	0	0	0	0	0	0
S10688	0	0	0	0	0	0	0	0	0
S10690	0	0	0	0	0	0	0	0	0
S10698	0	0	0	0	0	0	0	0	0
S107	0	0	0	0	0	0	0	0	0
S10703	0	0	0	0	0	0	0	0	0
S10726	0	0	0	0	0	0	0	0	0
S10729	0	0	0	0	0	0	0	0	0
S10733	0	0	0	0	0	0	0	0	0
S10734	0	0	0	0	0	0	0	0	0
S10735	0	0	0	0	0	0	0	0	0
S10740	0	0	0.363333922378456	0	0	0	0	0	0
S10745	0	0	0	0	0	0	0	0	0
S10748	0	0	0	0	0	0	0	0	0
S10753	0	0	0	0	0	0	0	0	0
S10756	0	0	0	0	0	0	0	0	0
