CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
average.mix_1	1.21043016955483e-06	0	0	0	0	0	7.70894784864134e-07	0	0
average.mix_2	1.35567284135327e-06	0	0	0	0	0	4.49182145526178e-07	0	0
average.mix_3	0	1.59110111630263e-06	1.74431026266761e-06	2.27292277421704e-06	1.69352132928245e-06	1.57601613173866e-06	1.74278915533189e-06	2.55026160703167e-06	2.31037721571994e-06
average.mix_4	2.3799661592468e-07	1.2123944055148e-06	1.24147579332233e-06	1.49831355644154e-06	1.11638361780071e-06	1.11319291155936e-06	1.33209611359245e-06	1.68905635297114e-06	1.41001758474817e-06
average.mix_5	9.58365451131132e-08	1.23272886822322e-06	1.40265266686991e-06	1.67222334474441e-06	1.25068700060162e-06	1.25705381039672e-06	1.60819563748815e-06	1.87385210544787e-06	1.58960150398925e-06
average.mix_6	5.99347709518577e-07	7.00468313257206e-07	7.15655791405037e-07	7.82763755053873e-07	5.90485269756415e-07	6.47595968087814e-07	1.00433258921145e-06	9.69068674989109e-07	6.38843851512178e-07
average.mix_7	0	1.63365306118992e-06	1.3888555814623e-06	1.83223588516081e-06	1.33987357938768e-06	1.26281040767115e-06	1.57679166925479e-06	2.09993671722599e-06	1.8502449312852e-06
average.mix_8	9.03055334669462e-07	6.26497789704136e-07	1.97884707425146e-07	1.77723100336366e-07	1.12292383372882e-07	1.73445676096508e-07	5.80488430113474e-07	3.70073531789502e-07	0
average.mix_9	6.71129934955052e-07	4.53276482191668e-07	7.36464795538564e-07	6.67221364807116e-07	5.29471484709817e-07	6.59045771016689e-07	1.21403849126989e-06	8.33427545016949e-07	4.45488211628259e-07
average.mix_10	0	1.61913374360678e-06	1.20387662735644e-06	1.62314661100712e-06	1.17642917623523e-06	1.09419613111637e-06	1.18780841019931e-06	1.8756432659628e-06	1.65695514092355e-06
average.mix_11	1.33001800319224e-06	0	0	0	0	0	4.91511080676979e-07	0	0
average.mix_12	8.99670678772805e-07	2.1683844248325e-08	2.12967148565574e-07	7.69544906863009e-08	4.85003989524096e-08	1.81667136370232e-07	7.92180190076323e-07	2.76954987855779e-07	0
average.mix_13	0	1.76775391122562e-06	1.2572689240135e-06	1.66385764590183e-06	1.20374386191978e-06	1.14547592894224e-06	1.53020116219309e-06	1.92709914707826e-06	1.66096338992621e-06
average.mix_14	0	1.69444452713048e-06	1.20149336460765e-06	1.63523465902761e-06	1.17530307850568e-06	1.09540205420833e-06	1.235823649933e-06	1.88603999926051e-06	1.65702883353692e-06
average.mix_15	0	1.81453622351055e-06	1.71858323862677e-06	2.09019514206071e-06	1.58729704513651e-06	1.56720813252085e-06	2.16954447178352e-06	2.39297299752538e-06	2.10474009871116e-06
average.mix_16	0	1.34957176925377e-06	1.31071816561163e-06	1.77192747107684e-06	1.27076305116981e-06	1.1844702392848e-06	1.41915367540015e-06	2.02584353316292e-06	1.7816356205728e-06
average.mix_17	0	2.33760733369589e-06	1.59641324306143e-06	2.11829506979454e-06	1.72379329075324e-06	1.47452219055279e-06	1.30163836073836e-06	2.53401700635471e-06	2.33764063620554e-06
average.mix_18	1.5301094044179e-06	0	0	0	0	0	2.05097621649767e-07	0	0
average.mix_19	5.82948249666576e-07	8.04790021779377e-07	6.71311007613317e-07	7.13121449673709e-07	5.51489331516804e-07	6.0580680956261e-07	9.22016666223453e-07	9.01244261239233e-07	5.76965846501849e-07
average.mix_20	0	1.66989033856921e-06	2.05708096918309e-06	2.568241677226e-06	2.00240273027713e-06	1.87400737239351e-06	2.05603906506179e-06	2.95364711099804e-06	2.7121264131233e-06
average.mix_21	0	1.55538960659441e-06	1.41092105241779e-06	1.87604299556675e-06	1.36903832255985e-06	1.2819128752826e-06	1.44839553328575e-06	2.13463033766117e-06	1.9131882147762e-06
average.mix_22	5.21667071408161e-07	9.39694046673734e-07	8.84926757359879e-07	8.73733911329681e-07	6.7893675191987e-07	7.84983806793419e-07	1.2406915950262e-06	1.04164267526168e-06	6.88442937918461e-07
