Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
AbsCIBERSORT	LM22	Mix_1	B Cells	0.177419481968	0.114803625	0.062615856968	0.00392074554384
AbsCIBERSORT	LM22	Mix_1	CD4 T Cells	0.178475262789	0.160552438	0.017922824789	0.000321227648417
AbsCIBERSORT	LM22	Mix_1	NK Cells	0.387338998701	0.246870954	0.140468044701	0.0197312715821
AbsCIBERSORT	LM22	Mix_1	Monocytes	0.2421406032	0.391022874	0.1488822708	0.0221659305586
AbsCIBERSORT	LM22	Mix_1	CD8 T Cells	0.44224261367	0.086750108	0.35549250567	0.126374921588
AbsCIBERSORT	LM22	Mix_2	B Cells	0.238013311099	0.281553398	0.043540086901	0.00189573916735
AbsCIBERSORT	LM22	Mix_2	CD4 T Cells	0.13151758831	0.295646727	0.16412913869	0.0269383741671
AbsCIBERSORT	LM22	Mix_2	NK Cells	0.266115621329	0.206702161	0.059413460329	0.00352995926827
AbsCIBERSORT	LM22	Mix_2	Monocytes	0.124614529335	0.196680238	0.072065708665	0.00519346636539
AbsCIBERSORT	LM22	Mix_2	CD8 T Cells	0.363688047437	0.019417476	0.344270571437	0.118522226358
AbsCIBERSORT	LM22	Mix_3	B Cells	0.0831745948316	0.09283461	0.0096600151684	9.33158930537e-05
AbsCIBERSORT	LM22	Mix_3	CD4 T Cells	0.0143462251954	0.07976566	0.0654194348046	0.00427970245015
AbsCIBERSORT	LM22	Mix_3	NK Cells	0.285923729348	0.309148265	0.023224535652	0.000539379056251
AbsCIBERSORT	LM22	Mix_3	Monocytes	0.10027926945	0.17260027	0.07232100055	0.00523032712055
AbsCIBERSORT	LM22	Mix_3	CD8 T Cells	0.620983200628	0.345651194	0.275332006628	0.0758077138738
AbsCIBERSORT	LM22	Mix_4	B Cells	0.111957117243	0.14825841	0.036301292757	0.00131778385583
AbsCIBERSORT	LM22	Mix_4	CD4 T Cells	0.0651060120436	0.213456386	0.148350373956	0.022007833453
AbsCIBERSORT	LM22	Mix_4	NK Cells	0.282386672485	0.294730575	0.012343902515	0.0001523719293
AbsCIBERSORT	LM22	Mix_4	Monocytes	0.0683898378462	0.1128312	0.0444413621538	0.00197503467009
AbsCIBERSORT	LM22	Mix_4	CD8 T Cells	0.543002899328	0.23072343	0.312279469328	0.0975184669638
AbsCIBERSORT	LM22	Mix_5	B Cells	0.433729909113	0.426745778	0.006984131113	4.87780874036e-05
AbsCIBERSORT	LM22	Mix_5	CD4 T Cells	0.106231679922	0.096759471	0.009472208922	8.9722741862e-05
AbsCIBERSORT	LM22	Mix_5	NK Cells	0.33315323332	0.297124601	0.03602863232	0.00129806234685
AbsCIBERSORT	LM22	Mix_5	Monocytes	0.0357094554326	0.057507987	0.0217985315674	0.000475175978495
