	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
S10001	0.0619510642503901	0.191341793840954	0.746707141908656	0	0	0
S10006	0.0730593480918404	0.188757667394835	0.738182984513325	0	0	0
S1001	0.0682960759570303	0.192961449230579	0.738742474812391	0	0	0
S10010	0.0528222872079502	0.201106524117036	0.746071188675013	0	0	0
S10011	0.0703129724086652	0.190717360445475	0.738969667145859	0	0	0
S10014	0.0588586243533051	0.190814406730711	0.750326968915984	0	0	0
S10026	0.070698153229396	0.190024825624847	0.739277021145757	0	0	0
S10032	0.0679521621900836	0.196163027031124	0.735884810778792	0	0	0
S10036	0.0616373904408625	0.197488084115968	0.740874525443169	0	0	0
S10042	0.0639641460377846	0.194287335853559	0.741748518108656	0	0	0
S10044	0.0677765046786667	0.190764895672086	0.741458599649247	0	0	0
S10049	0.0715945782634987	0.187775637943042	0.740629783793459	0	0	0
S10057	0.0684519755090328	0.184835413043461	0.746712611447506	0	0	0
S10062	0.0673297287472978	0.194084936461076	0.738585334791626	0	0	0
S10066	0.0546646546592877	0.201506834292611	0.743828511048101	0	0	0
S10067	0.06833290635855	0.184178055028902	0.747489038612548	0	0	0
S1007	0.0703031801566293	0.18929706455382	0.740399755289551	0	0	0
S10073	0.0677444680665592	0.185264076309527	0.746991455623914	0	0	0
S10077	0.0614256720029247	0.191319491616177	0.747254836380898	0	0	0
S10080	0.0647218998600716	0.193276050803954	0.742002049335975	0	0	0
S10082	0.0738462357313964	0.189758255508183	0.73639550876042	0	0	0
S10087	0.0705215565366762	0.187934832169938	0.741543611293386	0	0	0
S10089	0.0632040973981447	0.192173401452807	0.744622501149048	0	0	0
S1009	0.0791403973708831	0.1820473848554	0.738812217773717	0	0	0
S10090	0.061525614312121	0.190278242627406	0.748196143060473	0	0	0
S10093	0.0681372017877495	0.194713325676548	0.737149472535703	0	0	0
S10094	0.0629988566476761	0.193417536769319	0.743583606583005	0	0	0
S1010	0.0677828468420024	0.192751475857894	0.739465677300103	0	0	0
S10111	0.0698085575507378	0.184632755725504	0.745558686723758	0	0	0
S10116	0.0692855327917728	0.181811752357927	0.7489027148503	0	0	0
S10119	0.0734884860615286	0.187717501508736	0.738794012429736	0	0	0
S10121	0.065551525346056	0.188287426944808	0.746161047709136	0	0	0
S10130	0.0606572637067181	0.194643531348548	0.744699204944734	0	0	0
S10140	0.0619762435071827	0.19835664577786	0.739667110714957	0	0	0
S10142	0.066497021566251	0.182284045008524	0.751218933425225	0	0	0
S10150	0.0480102492448815	0.203130308381717	0.748859442373402	0	0	0
S10155	0.0699870554378431	0.190668094616256	0.7393448499459	0	0	0
S1016	0.0591290939679262	0.193881245853148	0.746989660178926	0	0	0
S10163	0.0577699296405057	0.19426855851756	0.747961511841934	0	0	0
S10167	0.0652695019343263	0.187780955695679	0.746949542369995	0	0	0
S10168	0.069148866808702	0.182053790423743	0.748797342767555	0	0	0
S10173	0.0824952143742715	0.185238257387286	0.732266528238443	0	0	0
