naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
A	2.09996454643844	0.891362698226411	3.21370604607477	4.63390602951661	0.668977007448569	0.856619273364852	1.01560088236445	0.800412654355191	0.981248475941014	0	1.90949923777186	1.89059936092357	0	0.24803956554928	0.105012229238067	0.205097960066559	0	1.34803785270491	1.19158567093656	0
B	3.05335128136801	1.7918871503394	3.35516672918755	4.57873546995687	1.1919926890292	0.92786725476649	1.40344710131792	0.920668949467797	1.1565424742244	0	2.16686939703556	1.72693542429199	0	0.977763144266555	1.20929822163942	0.335983169605103	0.0143509967955161	1.28283310986276	1.75020347352669	0
C	1.10802048870207	0.915022532375359	0	0.3798875881094	1.87053497761263	1.25627336295686	0	2.4855679108932	3.19587209531899	0	0	0	0.729553075345944	2.43068253969926	0.0884961739375036	3.08014291652636	1.79324661171074	1.09989863440672	1.35148740975336	0
D	1.7156788108912	1.33523867354866	0	0.261188686536838	1.91159197487811	1.31795833188581	0	2.45888380257457	3.23012201788822	0	0	0	0.467088305838474	2.14138086589161	0.322779396171117	3.19770826865917	1.36292019992599	1.22445248523919	1.3459596753758	0
E	0.146005429081003	0.29145609125718	0.474712137445553	1.99146611007295	2.60304151353265	1.88436356017515	0	1.84790818991141	3.87352488450087	0	0	0	0	0	0.274553558818898	2.6818877479538	1.86173995606145	1.43582411235571	1.06537083090689	0
F	1.08635678782503	1.21938109835603	1.90492189893537	4.00211993589598	3.97235305298646	2.57900354992386	0.874068179747759	0.375052606352897	0.998359258014504	0.150538373444707	0.847299535391492	1.66310781944376	0	2.33352692420971	1.8828234915118	0	0	1.91183356610393	2.89196479667744	0
G	1.09275619342461	0.150816429877213	4.67196643900735	5.36250554577084	0	0	5.91339663117172	0	0	1.87459486949708	7.75429636582736	4.74910703593009	0	1.61420879981711	3.22768088595238	0	0	1.26521549021687	0	-1.40709667823449
H	0.307522552529026	0.409887166208784	6.89290547070403	8.78375437152986	0.506979486158512	0	1.83264254088805	0.0371737170323929	0	4.1761620687957	8.92768018280788	6.20448079959605	0	0.17120087458187	0.321482300270512	0	0.568027621243914	2.55892516042902	0.209030331703857	0
I	0.506707932072006	0.349068263786756	7.30536416238473	9.34615264618622	0.696813355728008	0	2.06580407194397	0.152379585881092	0	2.8208576747675	8.55426078324498	5.8106747944253	0	0	0.699000816168581	0	0.454274891782812	2.80195453552246	0.574200591019281	0
J	3.70337520286077	3.23834640847327	0	0	2.51959039249794	0.758163821094364	0	3.17285238236301	2.42056955008329	0	0	0	1.96981630774428	4.03114082004129	0.0159839579062348	4.48062730833531	2.40354126619366	1.73059127334866	4.0770799250605	2.09702299149583
K	3.00450629528149	2.71650159010568	0	0	4.50185710365069	2.18147868760942	0	2.42462319730735	5.36657012829683	0	0	0	1.43192312911984	0	0	4.71787358569649	4.39885275141892	1.2905943405181	3.8574655859302	0.117324916765037
L	0	0.618622373556824	0	0	1.92183758874836	0.563958133712055	0	3.11291855488351	2.44414778545309	0	0	0	1.92628611388389	10.0316801408802	3.24248820971446	4.35315385501816	3.84353217424408	1.84282912662915	2.77063610518817	0.148068934996722
