	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.1167	0.2812	0.0	0.0509	0.0	0.2903
B	0.1196	0.2909	0.0	0.0474	0.0	0.3293
C	0.0284	0.0428	0.0	0.0167	0.1943	0.2198
D	0.0356	0.0402	0.0	0.0275	0.1752	0.2296
E	0.0256	0.1145	0.0	0.0333	0.0	0.5155
F	0.0564	0.1662	0.3522	0.0523	0.0	0.1439
G	0.1183	0.3304	0.0	0.1732	0.0	0.1374
H	0.0993	0.5628	0.0	0.0222	0.0	0.0878
I	0.1012	0.5673	0.0	0.0268	0.0	0.0741
J	0.0457	0.0	0.0	0.0	0.4942	0.2112
K	0.0321	0.0	0.0	0.0	0.0744	0.6063
L	0.0	0.0345	0.0	0.0092	0.3112	0.1774
