	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.2106	0.1896	0	0	0.4435
Mix_2	0.3455	0.2565	0	0	0.3279
Mix_3	0.1335	0.2025	0	0	0.5966
Mix_4	0.1793	0.2598	0	0	0.5115
Mix_5	0.4315	0.1116	0	0	0.4199
Mix_6	0.3278	0.0828	0	0	0.4191
Mix_7	0.2252	0.3256	0	0	0.4257
Mix_8	0.3611	0.3854	0	0	0.1611
Mix_9	0.3005	0.2197	0	0	0.4157
Mix_10	0.3865	0.124	0	0	0.3925
Mix_11	0.2682	0.344	0	0	0.3444
Mix_12	0.1188	0.2264	0	0	0.5299
Mix_13	0.3982	0.2052	0	0	0.3514
Mix_14	0.1156	0.2844	0	0	0.5794
Mix_15	0.1936	0.4088	0	0	0.3482
Mix_16	0.3134	0.3292	0	0	0.2918
Mix_17	0.2163	0.3627	0	0	0.3791
Mix_18	0.2107	0.5189	0	0	0.2166
Mix_19	0.1774	0.1587	0	0	0.5294
Mix_20	0.3563	0.2374	0	0	0.3119
Mix_21	0.3549	0.2368	0	0	0.2818
Mix_22	0.1894	0.1745	0	0	0.4797
Mix_23	0.429	0.2735	0	0	0.2376
Mix_24	0.0576	0.5648	0	0	0.2992
Mix_25	0.372	0.2564	0	0	0.3493
Mix_26	0.2861	0.3637	0	0	0.3179
Mix_27	0.3977	0.2738	0	0	0.2332
Mix_28	0.2901	0.2372	0	0	0.3562
Mix_29	0.3345	0.3577	0	0	0.2808
Mix_30	0.2168	0.1923	0	0	0.5649
Mix_31	0.3239	0.3033	0	0	0.3108
Mix_32	0.2171	0.4909	0	0	0.2136
Mix_33	0.1498	0.3857	0	0	0.3813
Mix_34	0.3513	0.113	0	0	0.3868
Mix_35	0.2414	0.2602	0	0	0.4474
Mix_36	0.2965	0.2507	0	0	0.3972
Mix_37	0.1572	0.1803	0	0	0.5877
Mix_38	0.1248	0.2911	0	0	0.4698
Mix_39	0.4548	0.2582	0	0	0.1415
Mix_40	0.2649	0.1485	0	0	0.5363
Mix_41	0.2337	0.1499	0	0	0.5389
Mix_42	0.3053	0.4136	0	0	0.2556
Mix_43	0.3606	0.124	0	0	0.4183
Mix_44	0.165	0.2086	0	0	0.5097
Mix_45	0.1957	0.2722	0	0	0.4491
Mix_46	0.3529	0.3559	0	0	0.2326
Mix_47	0.2918	0.1597	0	0	0.4164
Mix_48	0.3035	0.2719	0	0	0.3719
Mix_49	0.1414	0.2485	0	0	0.5736
Mix_50	0.1682	0.4277	0	0	0.3372
Mix_51	0.3058	0.3283	0	0	0.3036
Mix_52	0.0872	0.2901	0	0	0.56
Mix_53	0.3041	0.2583	0	0	0.3296
Mix_54	0.1718	0.0437	0	0	0.6327
Mix_55	0.1011	0.1821	0	0	0.6377
Mix_56	0.1872	0.3426	0	0	0.3837
Mix_57	0.047	0.2036	0	0	0.6521
Mix_58	0.1853	0.3942	0	0	0.3755
Mix_59	0.1387	0.117	0	0	0.6726
Mix_60	0.41	0.2882	0	0	0.2964
Mix_61	0.3956	0.118	0	0	0.4051
Mix_62	0.4029	0.1106	0	0	0.4585
Mix_63	0.1291	0.1084	0	0	0.6215
Mix_64	0.3269	0.1652	0	0	0.3631
Mix_65	0.3179	0.229	0	0	0.3399
Mix_66	0.3023	0.2661	0	0	0.4017
Mix_67	0.4885	0.1232	0	0	0.2726
Mix_68	0.2349	0.3783	0	0	0.3128
Mix_69	0.4083	0.1576	0	0	0.3811
Mix_70	0.2078	0.3973	0	0	0.336
Mix_71	0.2325	0.1603	0	0	0.5475
Mix_72	0.2277	0.4527	0	0	0.1918
Mix_73	0.0828	0.218	0	0	0.6342
Mix_74	0.378	0.0856	0	0	0.4391
Mix_75	0.2037	0.1992	0	0	0.5484
Mix_76	0.2025	0.181	0	0	0.5732
Mix_77	0.2458	0.2113	0	0	0.4118
Mix_78	0.0963	0.3462	0	0	0.5375
Mix_79	0.1264	0.0669	0	0	0.6833
Mix_80	0.2537	0.355	0	0	0.3202
Mix_81	0.2569	0.154	0	0	0.4956
Mix_82	0.271	0.2248	0	0	0.4912
Mix_83	0.3539	0.1666	0	0	0.3987
Mix_84	0.2623	0.3122	0	0	0.3397
Mix_85	0.228	0.2381	0	0	0.5006
Mix_86	0.1992	0.1368	0	0	0.5577
Mix_87	0.546	0.0591	0	0	0.2962
Mix_88	0.3707	0.4036	0	0	0.1824
Mix_89	0.0913	0.2207	0	0	0.5432
Mix_90	0.2252	0.1234	0	0	0.6026
Mix_91	0.5004	0.1942	0	0	0.2692
Mix_92	0.2793	0.1549	0	0	0.4777
Mix_93	0.2422	0.5094	0	0	0.1255
Mix_94	0.4019	0.3415	0	0	0.2087
Mix_95	0.2206	0.3024	0	0	0.4165
Mix_96	0.1414	0.3964	0	0	0.3996
Mix_97	0.3155	0.1125	0	0	0.4643
Mix_98	0.531	0.2114	0	0	0.0438
Mix_99	0.0319	0.5369	0	0	0.3991
Mix_100	0.3043	0.1779	0	0	0.3753
