	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
average.S10001	0.0	0.0	0.0	0	0
average.S10006	0.0	0.0	0.0	0	0
average.S1001	0.0	0.0	0.0	0	0
average.S10010	0.0298649453795	0.0	0.0	0	0
average.S10011	0.0	0.0	0.0	0	0
average.S10014	0.0	0.0	0.0	0	0
average.S10026	0.0	0.0	0.0	0	0
average.S10032	0.0	0.0	0.0	0	0
average.S10036	0.0	0.0	0.0	0	0
average.S10042	0.0	0.0	0.0	0	0
average.S10044	0.0	0.0	0.0	0	0
average.S10049	0.0	0.0	0.0	0	0
average.S10057	0.0	0.0	0.0	0	0
average.S10062	0.0	0.0	0.0	0	0
average.S10066	0.0393592124355	0.0	0.0	0	0
average.S10067	0.0	0.0	0.0	0	0
average.S1007	0.0	0.0	0.0	0	0
average.S10073	0.0	0.0562330751696	0.0	0	0
average.S10077	0.0	0.0	0.0	0	0
average.S10080	0.0	0.0	0.0	0	0
average.S10082	0.0	0.0	0.0	0	0
average.S10087	0.0	0.0	0.0	0	0
average.S10089	0.0	0.0	0.0	0	0
average.S1009	0.0	0.0725637464942	0.0	0	0
average.S10090	0.0	0.0	0.0	0	0
average.S10093	0.0	0.0	0.0	0	0
average.S10094	0.0	0.0	0.0	0	0
average.S1010	0.0	0.0	0.0	0	0
average.S10111	0.0	0.0	0.0	0	0
average.S10116	0.0	0.0	0.0	0	0
average.S10119	0.0	0.0	0.0	0	0
average.S10121	0.0	0.0	0.0	0	0
average.S10130	0.0	0.0	0.0	0	0
average.S10140	0.0012440618542	0.0	0.0	0	0
average.S10142	0.0	0.0	0.0	0	0
average.S10150	0.0675431490622	0.0	0.0	0	0
average.S10155	0.0	0.0	0.0	0	0
average.S1016	0.0	0.0	0.0	0	0
average.S10163	0.0	0.0	0.0	0	0
average.S10167	0.0	0.0	0.0	0	0
average.S10168	0.0	0.0	0.0	0	0
average.S10173	0.0	0.0315554442865	0.0	0	0
average.S10175	0.0	0.0	0.0	0	0
average.S10179	0.0	0.166876977075	0.0	0	0
