	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_35	0.0	0.197044466729	0.395030806186	0	0	0.0	0.0321015692553	0.339765568547
mix_36	0.0	0.195219991913	0.36799063925	0	0	0.0	0.0422160582032	0.37297352137
mix_37	0.0	0.151211412219	0.333717856083	0	0	0.0243845610361	0.0191151522771	0.440170065667
mix_38	0.0	0.166718872064	0.33859671369	0	0	0.0104843277767	0.0	0.408597823015
mix_39	0.0	0.19436432822	0.40678537625	0	0	0.0	0.0104109383201	0.336135470186
mix_40	0.0	0.261607322967	0.284632503618	0	0	0.0	0.0409332918879	0.412826881528
mix_41	0.0	0.289372111477	0.125384444074	0	0	0.0473862466805	0.0389099051666	0.498947292602
mix_42	0.0	0.356086369792	0.118436747104	0	0	0.0	0.0693217699358	0.456155113168
mix_43	0.0	0.32703460755	0.0203114361562	0	0	0.0128863255194	0.0500229420012	0.589744688773
mix_44	0.0	0.198313157452	0.39087767501	0	0	0.0	0.0	0.38638878581
mix_45	0.0	0.169093360976	0.339514083119	0	0	0.0	0.106893090035	0.318168796446
mix_46	0.0	0.277286290815	0.234866668283	0	0	0.0501445244028	8.0153087172e-05	0.437622363412
mix_47	0.0337952441587	0.00417153019332	0.0249704616437	0	0	0.19069958268	0.0732328252377	0.578710517776
mix_48	0.0	0.341892677198	0.0878035522925	0	0	0.0	0.0503434504211	0.519960320088
mix_49	0.0	0.177444260738	0.348120017256	0	0	0.0396064371158	0.0828425741254	0.329454130382
mix_50	0.0	0.195281449716	0.387787173252	0	0	0.0	0.0490039311899	0.31702654219
mix_51	0.0	0.298787906575	0.00780401212033	0	0	0.0480115527678	0.0577216235396	0.587674904997
mix_52	0.0	0.26470797923	0.155706955159	0	0	0.0141324219529	0.0499460795808	0.515506564077
mix_53	0.0	0.258975313344	0.141098220509	0	0	0.0	0.0740163216457	0.525910144502
mix_54	0.0	0.244675772471	0.314818581328	0	0	0.0	0.0	0.440505646201
mix_55	0.0	0.378709295644	0.0409548351632	0	0	0.0	0.00950202080323	0.57083384839
mix_56	0.0	0.26241074569	0.332135552898	0	0	0.0	0.0	0.405453701412
mix_57	0.0	0.206227279377	0.408624629102	0	0	0.0	0.0	0.328653736128
mix_58	0.0	0.198023290175	0.400868445567	0	0	0.0	0.0	0.354113077868
mix_59	0.0	0.237038642713	0.136367994483	0	0	0.0187842139009	0.126402518383	0.48140663052
mix_60	0.0	0.299431690683	0.191688692791	0	0	0.0	0.0	0.508879616526
mix_61	0.0	0.186853941636	0.376422779141	0	0	0.0	0.00426098799876	0.408273332276
mix_62	0.0	0.165599307598	0.330353082986	0	0	0.051011410582	0.0	0.438011427752
mix_63	0.0	0.201277942297	0.399130354568	0	0	0.0	0.0	0.376106862865
mix_64	0.0253463649147	0.0155813681324	0.0534655386586	0	0	0.0841295992308	0.182611495172	0.582308392735
mix_65	0.0	0.232821375512	0.204273117389	0	0	0.0486867065853	0.0442398638208	0.469978936692
mix_66	0.0	0.142985096644	0.287547780069	0	0	0.0	0.143421289075	0.397516243788
mix_67	0.0	0.188524253322	0.369103390449	0	0	0.0	0.0	0.351609344983
mix_68	0.0	0.218760251309	0.296197785943	0	0	0.0	0.0505447683349	0.434497194414
mix_69	0.0	0.251857020134	0.325500153099	0	0	0.0	0.0	0.422642826768
mix_70	0.0	0.300140190114	0.113769144255	0	0	0.0403076636996	0.0179054077742	0.527877594157
mix_71	0.0	0.17189068868	0.357665296858	0	0	0.00749629353704	0.0	0.437216209172
mix_72	0.0	0.165001842618	0.331632692193	0	0	0.0487379711668	0.0	0.418572838996
mix_73	0.0	0.272188246815	0.150003244301	0	0	0.0428357045509	0.0	0.534972804333
mix_74	0.0	0.238520610856	0.383858249063	0	0	0.0	0.0	0.374663133854
mix_75	0.0	0.316571337958	0.162351128053	0	0	0.0	0.0	0.52107753399
mix_76	0.0	0.175807832726	0.336439478186	0	0	0.00601688118767	0.0268712011622	0.360367205609
mix_77	0.0	0.218465666088	0.360987672894	0	0	0.0	0.0104603297039	0.402473771039
mix_78	0.0	0.252149967933	0.280398032876	0	0	0.00294523970335	0.0	0.460878817626
mix_79	0.0	0.183408985982	0.133405139987	0	0	0.103592221841	0.0	0.579402289063
mix_80	0.0	0.294072112006	0.0888587530045	0	0	0.0210524727887	0.0140113758747	0.582005286326
mix_81	0.0	0.179585747689	0.157145176885	0	0	0.0966715372577	0.0467599886225	0.514301159793
mix_82	0.0	0.00557118080477	0.0687510286852	0	0	0.140769844733	0.282790912054	0.443960948661
mix_83	0.0	0.34335584779	0.0603107308398	0	0	0.00717489761472	0.059651285025	0.52950723873
mix_84	0.0	0.172133869946	0.353973510589	0	0	0.0	0.0476692254063	0.363435915934
mix_85	0.0	0.129161246709	0.262176436697	0	0	0.0348006297154	0.120216110115	0.42003162216
mix_86	0.0	0.190201313891	0.39765347362	0	0	0.0	0.0	0.400549942861
mix_87	0.0	0.223217966811	0.421232685316	0	0	0.0	0.0	0.311112629803
mix_88	0.0	0.222029449305	0.377795286505	0	0	0.0	0.0	0.390884244254
mix_89	0.0195172822633	0.180839177935	0.0145578071717	0	0	0.122049733451	0.0	0.651367573764
mix_90	0.0	0.223864824966	0.407188895323	0	0	0.0	0.0117564736811	0.30195637139
mix_91	0.0	0.197251438267	0.391825876405	0	0	0.0	0.0359257106051	0.333206739842
mix_92	0.0	0.247889811245	0.321288646024	0	0	0.0	0.0102427117761	0.420578830955
mix_93	0.0	0.195941314661	0.0995247579228	0	0	0.103930233131	0.0	0.585761944842
mix_94	0.0	0.217162916608	0.398079002414	0	0	0.0	0.00251745385662	0.365994146856
mix_95	0.0	0.283056757597	0.297547163927	0	0	0.0	0.0	0.419396078476
mix_96	0.0	0.238885926065	0.308429867684	0	0	0.0	0.0440799385384	0.405334843569
mix_97	0.0	0.248199744967	0.313957354016	0	0	0.0	0.0890292530129	0.348813648004
mix_98	0.0	0.324333898455	0.181306340569	0	0	0.0	0.0390093103944	0.455350450581
mix_99	0.0	0.129801184275	0.0112310908813	0	0	0.0401888803527	0.253946773224	0.564128806581
mix_100	0.0	0.241439134932	0.341954050625	0	0	0.0	0.00916966172983	0.40398527855
