	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	9.89156560994	10.9416198652	9.69814404261	10.925819202	11.9641182479	9.23141796179	0
B	9.90752683447	10.9472624191	9.67466428016	10.940216684	11.9726242239	9.22802133655	0
C	9.53431194226	10.2235926558	9.65940003973	10.2576691572	12.0732397396	9.49331889509	0
D	9.54791456209	10.2111377331	9.67702947121	10.269895536	12.0678221287	9.51149170175	0
E	9.58170490701	10.4263555685	9.83508326697	10.4867611552	12.0273389707	9.59912777116	0
F	9.49073337772	10.6155231647	10.1652384593	10.8007514511	11.7697870386	9.15173601741	0
G	9.85451245076	11.1792454286	9.46520992265	11.3993773176	11.7687830624	8.92641563425	0
H	9.77214047891	11.4268278967	9.24500020796	11.1619877712	11.7342453889	8.82066530307	0
I	9.81761547933	11.4114315694	9.2540056594	11.1600860322	11.7887222077	8.83535471426	0
J	9.49485726139	9.91628690675	9.60969734086	9.79886220813	12.0693511865	9.46030761265	0
K	9.48109576	9.91614303618	9.82074089441	9.8888603335	12.0148611916	9.72988881393	0
L	9.57920261391	10.1891556214	9.59707442683	10.183695074	12.0377756214	9.47401780243	0
