	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	14.2630857143	0	0	0	21.4725087492	7.88085714286	0
B	14.4757857143	0	0	0	21.5090764764	8.32814285714	0
C	12.8813681642	0	0	0	22.8766189996	8.20467798872	0
D	12.8338623377	0	0	0	22.8539856088	8.22628571429	0
E	13.0258773191	0	0	0	22.0098079337	8.934	0
F	13.087639251	0	0	0	20.5043276398	7.71542857143	0
G	14.1470201309	0	0	0	20.4459684265	7.25814285714	0
H	13.5215265117	0	0	0	19.16083657	7.03557142857	0
I	13.7034950554	0	0	0	19.1911426658	7.05381516672	0
J	12.6119764302	0	0	0	23.011871137	7.42465219557	0
K	12.5325218519	0	0	0	22.4386382595	8.77423440274	0
L	12.2038997367	0	0	0	22.8220715669	7.45828571429	0
