	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	58.8384021807	13.469223587	34.9488040551	14.3774144613	3.55141416468	10.2529079688	0
B	72.520240422	14.563377974	16.2789467457	17.1201881729	5.79129810554	10.9898410523	0
C	10.2640053116	0.0	43.181404219	0.0	112.36152167	45.1343975793	0
D	11.470283902	0.0	66.3073444724	0.0	114.999158127	45.8803484264	0
E	0.0	0.0	116.830865804	0.0	67.1599101933	49.0410665126	0
F	0.0	0.0	250.498771693	0.0	4.3053627211	24.0290408592	0
G	41.1010075921	49.4953044564	0.0	125.217824292	0.0	0.0	0
H	27.7793509071	79.8225817172	0.0	72.6761054226	0.0	0.0	0
I	23.7530548676	79.2083173591	0.0	68.004478704	0.0	0.0	0
J	68.0931948795	-8.40977335801	32.8335048452	-18.7743798912	146.57637716	43.9023229542	0
K	16.6748455861	-21.8822489574	133.602119628	-22.6869914808	112.413976279	65.5830532643	0
L	0.0	0.0	17.2829514673	0.0	108.366191957	34.463101873	0
