	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.114291296779	0	0	0	0.430378013178	0.191144646523	0
B	0.0995675937416	0	0	0	0.454301188907	0.194864875285	0
C	0.00934328298634	0	0	0	0.82012884411	0.138963944973	0
D	0.00380990111417	0	0	0	0.829017528652	0.148403576198	0
E	0.0731425156889	0	0	0	0.273379901024	0.569065691411	0
F	0.136180194332	0	0	0	0.397209205612	0.24081559105	0
G	0.0885323900862	0	0	0	0.490282625489	0.0	0
H	0.120797160935	0	0	0	0.344598664393	0.04213698461	0
I	0.114206138152	0	0	0	0.342434209581	0.0451514959401	0
J	0.0169641395996	0	0	0	0.935206545559	0.0113907048462	0
K	0.046045761662	0	0	0	0.27965271227	0.656123570194	0
L	0.00948695447714	0	0	0	0.96589025235	0.00994769678821	0
