	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0682471267849	0.318790946121	0.184633165285	0.0200972780774	0.0904654145263	0.28094794142	0.0131957767399
B	0.0879694771933	0.308751694326	0.213588251403	0.0	0.0496643958266	0.261818986473	0.0432004358333
C	0.0174885661453	0.0538195345844	0.0856673020417	0.0	0.442907148806	0.276516214687	0.11298297385
D	0.020912779335	0.0591922554591	0.0803620991003	0.0	0.411857256687	0.317470977519	0.107593468529
E	0.0106423770313	0.0939383673098	0.170959959298	0.0101475688064	0.0991832378125	0.52692509482	0.0879433730181
F	0.0234919992894	0.137692053828	0.580410339538	0.0	0.0238818893644	0.177780252007	0.00669416877553
G	0.0834166727192	0.423514615177	0.122799837407	0.159677465913	0.0643343220036	0.0899433078558	0.00478643243059
H	0.0544703880962	0.749009467943	0.0321222502646	0.0	0.0577107676355	0.0670972470888	0.00180915280262
I	0.0488388186907	0.739811208533	0.0371905739808	0.0	0.0606660399453	0.0558920750434	0.000991327574362
J	0.023499487934	0.0	0.0690401340267	0.0	0.750001481614	0.0326552131758	0.114203740185
K	0.00733861090056	0.0	0.135766348217	0.0	0.0777264715079	0.755871406613	0.0106537878025
L	0.000828119593046	0.0447729678367	0.188460951285	0.0	0.621617068785	0.0240213690763	0.10606394288
