	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0.4387006531	0.0927264225501	7.16600812737e-05	0.468501264268
S10006	0.414550559609	0.107026558028	2.30946284921e-05	0.478399787735
S1001	0.402540354871	0.125021279612	9.67531101308e-06	0.472428690206
S10010	0.482942287631	0.106335975515	2.40386573659e-05	0.410697698197
S10011	0.4213574423	0.0962356543726	1.07115313289e-06	0.482405832175
S10014	0.428675295341	0.102683371392	9.50509851508e-06	0.468631828169
S10026	0.43497854998	0.143591465463	3.6990291331e-06	0.421426285528
S10032	0.425390108668	0.146098527405	3.18830303951e-05	0.428479480897
S10036	0.445634074005	0.106191030023	2.44022081862e-05	0.448150493764
S10042	0.426102040538	0.135635015935	1.29773834766e-05	0.438249966144
S10044	0.430643017519	0.138211107005	1.55271517622e-08	0.431145859949
S10049	0.414280965408	0.143473484024	8.23205389886e-07	0.442244727363
S10057	0.366295935961	0.0960357992805	1.28230867407e-05	0.537655441672
S10062	0.422895633207	0.132388040487	1.71906625217e-05	0.444699135643
S10066	0.499731723695	0.0824159961128	3.74206386413e-05	0.417814859554
S10067	0.385420134659	0.170897634414	2.9569624695e-05	0.443652661302
S1007	0.407291560416	0.114345034061	2.94640206922e-06	0.478360459121
S10073	0.408784188441	0.151085650487	6.32137450166e-07	0.440129528935
S10077	0.424212885602	0.125246305234	6.3851774191e-06	0.450534423987
S10080	0.433208105453	0.0834854645725	6.28018297729e-05	0.483243628145
S10082	0.416414282218	0.147226390096	6.83750633749e-06	0.43635249018
S10087	0.407133282684	0.154514496143	1.11740772238e-05	0.438341047096
S10089	0.443287819304	0.105387099046	1.01807133695e-05	0.451314900936
S1009	0.361655109296	0.1595216678	2.12376278116e-05	0.478801985276
S10090	0.427063105969	0.104416082882	3.42966733969e-05	0.468486514476
S10093	0.400671572419	0.0840811140518	2.09905813349e-05	0.515226322948
S10094	0.448762225082	0.124927979471	1.50177479198e-05	0.426294777699
S1010	0.413359530735	0.112496157916	2.30962618489e-05	0.474121215088
S10111	0.390703993615	0.154467027874	8.64627624717e-06	0.454820332235
S10116	0.331505509469	0.161714979602	2.25947045296e-05	0.506756916224
S10119	0.383962412633	0.149493358474	1.74241064034e-05	0.466526804787
S10121	0.436431556638	0.126746987583	1.0862110515e-05	0.436810593668
S10130	0.445635829371	0.0930269107389	6.04042331531e-05	0.461276855657
S10140	0.463065784772	0.12496940681	1.45394738458e-05	0.411950268944
S10142	0.38134986944	0.160124014846	3.97433142971e-06	0.458522141382
S10150	0.486813401701	0.0808639769555	1.35754537897e-06	0.432321263798
S10155	0.413847839239	0.113740865202	6.16237411047e-06	0.472405133184
S1016	0.421980628414	0.123267460678	1.46063923754e-05	0.454737304516
S10163	0.442126122464	0.0676843609112	9.05642960403e-06	0.490180460196
S10167	0.41397603555	0.115080410829	5.09431403792e-06	0.470938459308
S10168	0.387552678623	0.167835925032	1.88240120787e-05	0.444592572333
S10173	0.384331121462	0.165590710676	2.51267043749e-06	0.450075655191
S10175	0.447132115878	0.117881063591	8.12954382338e-06	0.434978690987
S10179	0.356600607894	0.14688342084	2.3316472258e-06	0.496513639619
S10186	0.316452426869	0.186582215644	2.93174543985e-06	0.496962425741
S1019	0.39962739086	0.14006604432	6.36570284139e-06	0.460300199117
S10190	0.387054352751	0.173984771713	2.24241547883e-05	0.438938451382
S10195	0.443955653515	0.100271525592	7.4763701688e-06	0.455765344523
S10196	0.417754322962	0.126989691353	2.19549842406e-05	0.455234030701
S10200	0.451442796512	0.120591782104	6.60246464943e-06	0.42795881892
S10201	0.5195449133	0.0652906862546	9.44856336533e-06	0.415154951882
S10202	0.437831113683	0.0951319025862	6.58264359928e-05	0.466971157295
S10205	0.431330073051	0.113726957174	3.70672656097e-05	0.454905902509
S10211	0.38346652233	0.118751319498	3.80147051235e-05	0.497744143467
S10221	0.40680353754	0.129675412246	3.59819796132e-06	0.463517452016
S10222	0.43914404648	0.107386661055	2.30857050664e-05	0.45344620676
S10226	0.439515838396	0.105558474324	5.10273308488e-06	0.454920584548
S10227	0.438933224145	0.100255964087	2.99952241733e-05	0.460780816544
S10228	0.43163638072	0.123892038395	1.0666662683e-05	0.444460914223
S10232	0.329911187235	0.14981620802	1.76941467451e-07	0.520272427803
S10248	0.414604416806	0.139274224371	2.20489786764e-09	0.446121356618
S10249	0.488118361073	0.0738452831001	3.79976188685e-06	0.438032556065
S1025	0.402501895895	0.154440691058	7.74140020642e-06	0.443049671647
S10266	0.458364940999	0.0851586793737	4.75654008809e-05	0.456428814226
S10269	0.443427255383	0.124839248999	1.89293132995e-06	0.431731602686
S10272	0.450867784157	0.0950136348469	3.43407863812e-06	0.454115146917
S10273	0.449358545494	0.125648429922	8.11334056656e-06	0.424984911243
S10274	0.427868535305	0.117049924378	1.14821292074e-05	0.455070058188
S1028	0.433928438519	0.13032707843	3.91754632525e-07	0.435744091297
S10280	0.424078298898	0.141980298904	3.80848407072e-05	0.433903317357
S10283	0.359103155596	0.204574258761	5.14694843463e-05	0.436271116159
S1029	0.407400314459	0.115320215232	1.44919370429e-07	0.47727932539
S10292	0.377666658161	0.140287830292	3.00157345922e-06	0.482042509973
S10294	0.372106791008	0.166460512292	3.39297616175e-06	0.461429303724
S10302	0.402723673344	0.144059410635	3.58563362058e-05	0.453181059686
S10303	0.426232869753	0.131568994081	3.58510268754e-06	0.442194551064
S10323	0.426375768304	0.111805003223	6.99156619692e-06	0.461812236907
S10326	0.440020478563	0.125149675516	8.00989736477e-07	0.434829044931
S10328	0.408527984696	0.15980945075	6.70890264841e-06	0.431655855652
S10329	0.403967090288	0.150062012781	4.3606553603e-06	0.445966536275
S10336	0.424754744529	0.130642881622	9.53212284665e-06	0.444592841727
S10340	0.441613552702	0.115906011942	5.34656007459e-06	0.442475088796
S10347	0.400007061444	0.0839526378947	1.2919016225e-05	0.516027381645
S10353	0.42761152019	0.125252305303	8.13480099482e-06	0.447128039706
S10356	0.401225141321	0.119634025581	1.89159644831e-05	0.479121917134
S10358	0.446989770371	0.12021424885	5.49829657107e-06	0.432790482482
S10365	0.456725268802	0.109904567973	1.04179747258e-05	0.433359745251
S1037	0.346428189417	0.175042970089	2.86320282501e-06	0.478525977291
S10373	0.393280551712	0.146315473072	1.1140912375e-06	0.460402861126
S10374	0.375658183656	0.112996377474	1.84005904783e-06	0.511343598811
S10375	0.439714064561	0.0992925336347	2.39227553827e-05	0.460969479049
S10377	0.357193896109	0.0972635841027	7.63700920621e-05	0.545466149696
S10378	0.414118268661	0.155468811109	3.28501260332e-05	0.430380070104
S10390	0.401884684602	0.0713812099319	5.87665359667e-05	0.52667533893
S10391	0.379440918196	0.0997856124707	4.94243821421e-06	0.520768526895
S10393	0.39690812188	0.133774224473	5.12396379215e-07	0.469317141251
S10400	0.439684080248	0.0908582607252	1.92414836275e-05	0.469438417544
S10401	0.412833485963	0.0876264703514	4.76415758534e-05	0.49949240211
S10406	0.465062067898	0.0822013090782	2.24184733113e-05	0.45271420455
S10408	0.44254925998	0.0930144400606	7.51287494381e-06	0.464428787085
S10409	0.389060317642	0.137860856413	1.26749363029e-06	0.473077558451
S10418	0.457472003831	0.0494467014507	4.92137241522e-06	0.493076373345
S10431	0.421408488573	0.121108026119	6.39715843626e-06	0.45747708815
S10438	0.400196371768	0.132893748459	9.24216331943e-06	0.466900637609
S10439	0.427365591331	0.137391584323	2.63077050408e-05	0.43521651664
S10441	0.465710980516	0.119772234411	4.73757446295e-05	0.414469409328
S10442	0.422416030219	0.128456886201	8.71576455336e-06	0.449118367816
S1046	0.476984022521	0.107842360259	7.363764637e-06	0.415166253455
S10478	0.50239546981	0.0803029278016	1.56999185885e-06	0.417300032396
S10480	0.335121827946	0.177150673518	3.67599532132e-06	0.487723822541
S10484	0.442295086037	0.105530547223	2.08558569729e-05	0.452153510883
S10492	0.362209568878	0.137029752914	2.38226828656e-05	0.500736855525
S10496	0.388152782812	0.167879551045	1.8244695435e-05	0.443949421447
S10510	0.404072421693	0.110503578136	2.18125975892e-06	0.485421818911
