	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.0	0.261946253501	0.223493374089	0	0	0	0	0
mix_2	0.0	0.247057299221	0.254507265813	0	0	0	0	0
mix_3	0.0	0.206101869078	0.186809171142	0	0	0	0	0
mix_4	0.0	0.294678942797	0.306164731278	0	0	0	0	0
mix_5	0.0	0.238960366988	0.271726673433	0	0	0	0	0
mix_6	0.0	0.310903615378	0.255728178316	0	0	0	0	0
mix_7	0.0	0.201687569929	0.276235381574	0	0	0	0	0
mix_8	0.0	0.197824805112	0.305464464012	0	0	0	0	0
mix_9	0.0	0.305037049046	0.288276763336	0	0	0	0	0
mix_10	0.0	0.338078745388	0.15323315714	0	0	0	0	0
mix_11	0.0	0.225798587351	0.250281139989	0	0	0	0	0
mix_12	0.0	0.290136522605	0.269589286843	0	0	0	0	0
mix_13	0.0	0.393964459224	0.19153047968	0	0	0	0	0
mix_14	0.0	0.35492862002	0.181608947365	0	0	0	0	0
mix_15	0.0	0.257363182299	0.267626487415	0	0	0	0	0
mix_16	0.0	0.197130781575	0.202010349507	0	0	0	0	0
mix_17	0.0	0.247050131269	0.186517577912	0	0	0	0	0
mix_18	0.0	0.392280947522	0.131390332788	0	0	0	0	0
mix_19	0.0	0.211883561509	0.218559876266	0	0	0	0	0
mix_20	0.0	0.340235566222	0.224840267258	0	0	0	0	0
mix_21	0.0	0.327475256545	0.192327227162	0	0	0	0	0
mix_22	0.0	0.315746353576	0.171147031548	0	0	0	0	0
mix_23	0.0	0.346983384002	0.187269752753	0	0	0	0	0
mix_24	0.0	0.277651342969	0.25983573355	0	0	0	0	0
mix_25	0.0	0.376912710855	0.20539790356	0	0	0	0	0
mix_26	0.0	0.287220097797	0.201172377322	0	0	0	0	0
mix_27	0.0	0.319449043848	0.201388837584	0	0	0	0	0
mix_28	0.0	0.31319846102	0.253498304507	0	0	0	0	0
mix_29	0.0	0.211725653133	0.28651423645	0	0	0	0	0
mix_30	0.0	0.354288344133	0.215398286534	0	0	0	0	0
mix_31	0.0	0.283146879503	0.263290793814	0	0	0	0	0
mix_32	0.0	0.332113191465	0.216727513993	0	0	0	0	0
mix_33	0.0	0.360441064084	0.168606049269	0	0	0	0	0
mix_34	0.0	0.258630642897	0.156556020395	0	0	0	0	0
mix_35	0.0	0.308578209095	0.237239616277	0	0	0	0	0
mix_36	0.0	0.267347258011	0.231950477467	0	0	0	0	0
mix_37	0.0	0.251409758424	0.212448826671	0	0	0	0	0
mix_38	0.0	0.202945406216	0.274180756343	0	0	0	0	0
mix_39	0.0	0.304283736145	0.254368707063	0	0	0	0	0
mix_40	0.0	0.297074347608	0.207701495933	0	0	0	0	0
mix_41	0.0	0.272888765562	0.179820708238	0	0	0	0	0
mix_42	0.0	0.392008416292	0.206437911852	0	0	0	0	0
mix_43	0.0	0.302938193668	0.157129637511	0	0	0	0	0
mix_44	0.0	0.320464789025	0.202964681747	0	0	0	0	0
mix_45	0.0	0.235231089687	0.255712780998	0	0	0	0	0
mix_46	0.0	0.266193402914	0.185635082768	0	0	0	0	0
mix_47	0.0134573371307	0.167025641813	0.118442245766	0	0	0	0	0
mix_48	0.0	0.383630948202	0.14375357801	0	0	0	0	0
mix_49	0.0	0.254900083899	0.156487457014	0	0	0	0	0
mix_50	0.0	0.296638249981	0.249806970892	0	0	0	0	0
mix_51	0.0	0.267748814484	0.1732985018	0	0	0	0	0
mix_52	0.0	0.287303349265	0.172798835049	0	0	0	0	0
mix_53	0.0	0.298869640176	0.165510413743	0	0	0	0	0
mix_54	0.0	0.319359184445	0.210261050684	0	0	0	0	0
mix_55	0.0	0.340300335756	0.219177188729	0	0	0	0	0
mix_56	0.0	0.370990660947	0.187210980181	0	0	0	0	0
mix_57	0.0	0.340393464579	0.221277590076	0	0	0	0	0
mix_58	0.0	0.272383630345	0.27357118608	0	0	0	0	0
mix_59	0.0	0.248914037671	0.150900355489	0	0	0	0	0
mix_60	0.0	0.342240406492	0.182344166298	0	0	0	0	0
mix_61	0.0	0.246742742353	0.271110286083	0	0	0	0	0
mix_62	0.0	0.224922073517	0.225825743527	0	0	0	0	0
mix_63	0.0	0.300182588808	0.251156162245	0	0	0	0	0
mix_64	0.0293984543322	0.15325948298	0.124384668229	0	0	0	0	0
mix_65	0.0	0.263960759599	0.187873903232	0	0	0	0	0
mix_66	0.0	0.185805433191	0.253357375504	0	0	0	0	0
mix_67	0.0	0.23879056126	0.252471381053	0	0	0	0	0
mix_68	0.0	0.290867058154	0.221512517017	0	0	0	0	0
mix_69	0.0	0.336199761583	0.236692425636	0	0	0	0	0
mix_70	0.0	0.275202994559	0.207074656804	0	0	0	0	0
mix_71	0.0	0.248844218739	0.259281067829	0	0	0	0	0
mix_72	0.0	0.209851775015	0.249294059796	0	0	0	0	0
mix_73	0.0	0.263063589754	0.280202270748	0	0	0	0	0
mix_74	0.0	0.421374973405	0.166012643299	0	0	0	0	0
mix_75	0.0	0.351621953256	0.171559821247	0	0	0	0	0
mix_76	0.0	0.183872739998	0.25470332612	0	0	0	0	0
mix_77	0.0	0.310779721809	0.233747091568	0	0	0	0	0
mix_78	0.0	0.303534545376	0.218299307296	0	0	0	0	0
