B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
mix_1	-0.0276854895976868	-0.0284806670360788	0	0.14784230192195	0.199508556846139	0	0	0	0.0309274761527656	0.0329929640801907
mix_2	0	0	-0.0988653928138286	0.0367411982527759	0.0553863920481889	-0.207467003422037	0	0	0	0
mix_3	0	0	0.0769460896279383	0	0	0.0658668430990041	0	0	0	0
mix_4	0	0	-0.0496601732498379	0	0	-0.0528374206633647	0.00896582236089785	0.0189815671543265	0.0150807368156452	0.0296210305723799
mix_5	0	0	0	0.00845068474375777	0.00808120509037001	0	0	0	0	6.87567334929643e-05
mix_6	0	0	-0.0592035071885378	0.03190069399988	0.0261119621529573	-0.0796139202916248	0	0.00272423501592739	0.0228880376897154	0.0356752173807197
mix_7	0	0	0	0	0	0	0	0	0	0
mix_8	-0.0179250803501286	-0.0315174483509782	-0.0342779691503297	0.0610991160149577	0.0936231241821054	-0.0627673568526622	0	0	0	0
mix_9	0	0	-0.0107765057392703	0.0486949733186059	0.0458631279570398	-0.0127489142532371	0.00382196760367874	0.0178353777100132	0.0329705523184772	0.0500961076115472
mix_10	0.00605164197147062	0.018675318591727	0	0	0	0	0.0115667609160696	0.0113491813484028	0	0
mix_11	0	0	0	0.0958907581016339	0.130782002770999	0	0	0	0.0204217974709205	0.0158344940364351
mix_12	0	0	0	0	0	0	0	0.0111912914026016	0.0127214909268861	0.0285706738981126
mix_13	0	0	0	0	0	0	0.0700456296792521	0.0580118450971567	0	0.0218231320211453
mix_14	0	0	0	0	0	0	0.0117305421789038	0.0198865731958129	0.0118585868573989	0.0181358326503265
mix_15	0	0	-0.0170406485885681	0.0431460668317701	0.0516455999641633	-0.0303503578238488	0	0	0.0104689715715927	0.015776615848929
mix_16	0	0	0	0	0	0	0	0	0	0
mix_17	0	0	-0.115587931567269	0	0	-0.137648138517413	0	0	0	0
mix_18	0.0679391990151135	0.050142480074857	0	0	-0.0166585746010296	0	0.0730418025706208	0.0456689871404913	0	0
mix_19	0	-0.025472427969707	0	0	0	0	0	0	0	0
mix_20	0	0	-0.074410321540285	0	0	-0.103641509916093	0	0.00815420294575996	0.0149648043118657	0.0259412532083186
mix_21	0	0	-0.0197353821416067	0	0	0	0.0531045449758539	0.032677228630738	0	0
mix_22	0	0	0	0.0178352864929273	0.0243369793857277	0	0	0	0.0162847616082069	0.0144375319902673
mix_23	0	0	0	0.0144309183148774	0.00712665735433799	0	0	0.00502396776959877	0.0191526223745146	0.0301872104860936
mix_24	0	0	-0.052540430303272	0	0	-0.0683706984339689	0	0	0	0.0118807350340095
mix_25	0	0	-0.0184455873838491	0.00496485904769624	0	-0.00397187014337929	0.0229116387011872	0.0290298427904821	0.0248907793290866	0.0456906495614718
mix_26	0	0	0	0	0	0	0.0312157842794191	0.00902784503944326	0	0
mix_27	0	0	0	0.0824657290221521	0.100794445290714	0	0	0	0.0280091981915386	0.0399488101402893
mix_28	0	0	-0.0479847877204454	0	0	-0.0628179563403791	0	0.0015960855767828	0.0129296135982895	0.0256207584471366
mix_29	0	0	0	0.0850790849991803	0.113345262573006	0	0	0	0.0170843517687287	0.016188235541252
mix_30	0	0	0	0	0	0	0.0159648807707818	0.0243865550245663	0.0208675704851903	0.0365479350801999
mix_31	0	0	0	0	0	0	0	0.00899300183182223	0.00136127100294102	0.0043087196578486
mix_32	0	0	0	0	0	0	0.0272556930278063	0.0295529187425266	0.000655592954675	0.0143065574474702
mix_33	0	0	0	0	0	0	0.058959317317099	0.0495868108156797	0	0
mix_34	0	0	0.0312123380373766	-0.0102403102453129	-0.00400326176465344	0.0161909317640041	0	0	0	0
mix_35	0	0	0	0	0	0	0	0.000257794338154759	0.0140266816951833	0.0219494945629944
mix_36	0	0	0	0	0	0	0	0	0	0
mix_37	0	0	0	0	0	0	0	0	0	0
mix_38	0	0	0	0.0109993634636191	0.0134423170622615	0	0	0	0	0
mix_39	0	0	-0.0649767771764169	0.0135809241357781	0.00764646727065899	-0.0867036795145728	0	0	0.0123340705741684	0.0245696039832581
mix_40	0	0	0	0	0	0	0	0.00711560434534259	0	0
mix_41	0	0	0.0874581912798057	0	0	0.13666040059729	0	0	0	0
mix_42	0.0347462357850742	0.0334464944833171	-0.0436738415276265	0	0	-0.038727477792199	0.0597907093742956	0.0463833838912187	0	0
mix_43	0.00678178296542381	0.0183089540027567	0	0	0	0	0	0	0	0
mix_44	0	0	0	0	0	0	0	0	0.00357880572286362	0.012425657406854
mix_45	0	0	-0.0356296932199793	0.00138795758710095	0.0176606126913774	-0.0897537678793429	0	0	0	0
mix_46	0	0	0.178306465192914	0	0	0.265398225421279	0	0	0	0
mix_47	0	0	-0.165305431996531	0	-0.0181249037903675	-0.359437201032403	-0.0574514163316518	-0.00601543630669513	-0.0369318222518142	0
mix_48	0.0531086171459448	0.0501782456822533	0	0	0	0	0.0444194057547568	0.0328611887292887	0	0
mix_49	0	0	0.165932610139672	0	0	0.228210420031416	0	0	0	0
mix_50	0	0	-0.0436342193346476	0.0129235731647979	0.0119972110666442	-0.0678519318245582	0	0	0.0137451039753537	0.0165778450432289
mix_51	0	0	0	-0.0158761307562468	-0.0535238806980331	0	0	0	0	0
mix_52	0	0	0	0	0	0	0	0	0	0
mix_53	0.0474221796322629	0.053000105562913	0	0	0	0	0	0	0	0
mix_54	0	0	0	0	0	0	0.0125941665695271	0.0206429323547948	0	0.00862355700960855
mix_55	0	0	0	0	0	0	0.0814114225745844	0.0546978587592405	0	0
mix_56	0	0	0	0	0	0	0.0359307108972065	0.0380886044397435	0.0186935401878831	0.0325890120938636
mix_57	0	0	0	0.0364439428160311	0.0430595220140279	0	0	0.00235616818040432	0.0242099309519217	0.0337383755183485
mix_58	0	0	0	0.0148844396169208	0.00682104565958476	0	0	0	0.0165875508983585	0.031792065360244
mix_59	0	0	0.0385107384033361	0	0	0	0	0	0	0
mix_60	0	0	0	0	0	0	0.0401072530560744	0.0354456088362476	0	0
mix_61	0	0	0	0	0	0	0	0	0	0
mix_62	0	0	0.0211639965027955	0	0	0.0347155133244149	0	0	0	0
mix_63	0	0	0	0	0	0	0	0.0130678001401837	0.017106645169459	0.0313165059907374
mix_64	0	0	-0.20883147994112	-0.0105325964426657	-0.0110851812442975	-0.466331272757128	-0.0963073543993354	-0.0149052132417376	-0.0371626375751312	-0.0142287894488169
mix_65	0	0	0.0858700127087876	0	0	0.130627442569664	0	0	0	0
mix_66	0	0	0	0	0	0	0	0	0	0
mix_67	0	0	0	0.0914037243752449	0.122483041543338	0	0	0	0.0119284502333017	0.0147473062196303
mix_68	0	0	-0.020309876965571	0	0	-0.0124532433027398	0	0	0	0
mix_69	0	0	-0.0942387580604378	0	0	-0.116058300826381	0.0107924066438614	0.0176908067978961	0	0.00930671309313943
mix_70	0	0	0	0	0	0	0	0	0	0
mix_71	0	0	0	0	0	0	0	0	0	0
mix_72	0	0	0.0347808046686662	0	0	0.0416882931697638	0	0	0	0
mix_73	0	0	0	0	0	0	0	0	0	0
mix_74	0	0	0	0	0	0	0.0350714884906504	0.0381427331894095	0.0231895606470878	0.0451842664427545
mix_75	0	0	0	0	0	0	0.0370297599376309	0.0298069702817249	0	0
mix_76	-0.0239105978716483	-0.00718247279007595	0	0.0871934931322273	0.12954540949223	0	0	0	0.00581318272422174	0
mix_77	0	0	0	0	0	0	0	0.00639233565413939	0	0.00998900976896254
mix_78	0	0	0	0	0	0	0.00121712729447337	0.0100210519631642	0	0
mix_79	0	0.0185365483307048	0.180064994709958	0	0	0.148696765298418	0	0	0	0
mix_80	0.095787255937032	0.0915630594607615	0.0675048006695482	0	0	0.108160292919433	0	0	0	0
mix_81	0	0	0.439917636339311	0	0	0.604406914897402	0	0	0	0
mix_82	-0.107387495393213	-0.140483955801223	0	0	0	0	-0.0562115473989842	0	0	0
mix_83	0	0	-0.087876550089403	0	0	-0.0717185766690399	0.0585887770988694	0.0338616042235617	0	0
mix_84	0	0	0	0	0	0	0	0	0	0
mix_85	0	0	0.0153088612412361	0	0	0	0	0	0	0
mix_86	0	0	0	0	0	0	0	0.00245004406243867	0	0.0187050992909291
mix_87	0	0	0	0.0564251169357672	0.0634558986825746	0	5.01748562006068e-05	0.0161172204285141	0.0335359346468602	0.045327772142427
mix_88	0	0	0	0	0	0	0	0.013456345216331	0.0190090845777983	0.028399756169533
mix_89	0.176959204525301	0.196612066016007	0.19720919897429	-0.0738329192029645	-0.113563418941245	0.209197202364055	0	0	0	0
mix_90	0	0	0	0.0660944552104814	0.0801880447977972	0	0	0.00825145941583955	0.0377926886766717	0.0443210011607673
mix_91	0	0	0	0.000605662790281731	0.00318733657659996	0	0	0	0.0145417391209624	0.0186460557914042
mix_92	0	0	-0.0357411999916875	0	0	-0.0243530342644233	0.0131623492581384	0.0197252915125434	0	0.0100650324491558
mix_93	0	0	-0.0847977611724594	0	0	-0.125514652984524	0	0	0	0
mix_94	0	0	0	0	0	0	0.0116935775706063	0.0220926364864194	0.022021581463456	0.0348319930873425
mix_95	0	0	-0.00984655446083947	0	0	0	0.041467881264371	0.0411941615399839	0.00789681928275611	0.0251950419795288
mix_96	0	0	0	0	0	0	0	0	0	0
mix_97	0	0	0	0	0	0	0.00615399506732231	0.013270616025418	0.00207751945081464	0.00735372933752584
mix_98	0	0	0	0	0	0	0.0418226153711858	0.037281959279834	0	0
mix_99	0	0	0	-0.0674049712892094	-0.0407478299783391	0	0	0	0	0
mix_100	0	0	0	0	0	0	0.010887612339996	0.0190051463494458	0.00494645352782933	0.0164658051213785
