A1BG	1
A2M	2
A2MP1	3
NAT1	9
NAT2	10
SERPINA3	12
AADAC	13
AAMP	14
AANAT	15
AARS	16
AARS	16
ABAT	18
ABCA1	19
ABCA2	20
ABCA3	21
ABCB7	22
ABCF1	23
ABCF1	23
ABCF1	23
ABCF1	23
ABCF1	23
ABCF1	23
ABCF1	23
ABCA4	24
ABL1	25
AOC1	26
ABL2	27
ABO	28
ABO	28
ABR	29
ABR	29
ABR	29
ACAA1	30
ACACA	31
ACACA	31
ACACB	32
ACADL	33
ACADM	34
ACADS	35
ACADSB	36
ACADSB	36
ACADVL	37
ACAT1	38
ACAT2	39
ASIC2	40
ASIC1	41
ACHE	43
ACLY	47
ACO1	48
ACR	49
ACR	49
ACO2	50
ACOX1	51
ACP1	52
ACP2	53
ACP5	54
ACPP	55
ACRV1	56
ACTA1	58
ACTA1	58
ACTA2	59
ACTA2	59
ACTB	60
ACTB	60
ACTC1	70
ACTC1	70
ACTG1	71
ACTG2	72
ACTN4	81
ACTN4	81
ACTL6A	86
ACTN1	87
ACTN1	87
ACTN2	88
ACTN3	89
ACVR1	90
ACVR1B	91
ACVR2A	92
ACVR2B	93
ACVRL1	94
ACVRL1	94
ACY1	95
ACYP1	97
ACYP2	98
ADA	100
ADA	100
ADAM8	101
ADAM10	102
ADAR	103
ADARB1	104
ADARB2	105
ADCY1	107
ADCY2	108
ADCY3	109
ADCY5	111
ADCY6	112
ADCY7	113
ADCY8	114
ADCY9	115
ADCYAP1	116
ADCYAP1R1	117
ADD1	118
ADD2	119
ADD3	120
PLIN2	123
ADH1A	124
ADH1B	125
ADH1C	126
ADH4	127
ADH5	128
ADH6	130
ADH7	131
ADK	132
ADM	133
ADORA1	134
ADORA2A	135
ADORA2B	136
ADORA3	140
ADORA3	140
ADPRH	141
PARP1	142
PARP4	143
ADRA1D	146
ADRA1B	147
ADRA1A	148
ADRA2A	150
ADRA2B	151
ADRA2C	152
ADRB1	153
ADRB2	154
ADRB3	155
GRK2	156
GRK3	157
ADSL	158
ADSS	159
AP2A1	160
AP2A2	161
AP2A2	161
AP2A2	161
